Judet,NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN
ab,19.376365087365592,150.42737735215053,21641529.299500167,773726.1057207661,1718918.3992775537
ag,19.958857284271417,184.50651941905247,39377116.71229487,1585820.7646976938,635601.0842497641
ar,22.614246532601662,175.52340375294878,28878126.11231862,1414418.1137437362,2153591.111570222
b,53.06351573669723,558.6720881997192,156895536.30850163,10912865.746828198,8045298.470294424
bc,14.292038534738374,95.19198490281387,16720590.012692442,1134988.1996391548,495850.4164164512
bh,27.79127486984947,183.00173534040923,29892845.160821665,1051396.9393437991,1248310.5371483918
bn,16.583204346110655,123.13879025160097,20077581.592764575,819542.8601778506,262443.8829706516
br,15.365620966384197,127.45664739884393,16066125.91615691,812197.1519164937,720179.4404848757
bt,8.73971006847132,76.94285996900656,9624236.901975008,395237.12398474506,215252.9504214888
bv,29.602949841293977,227.54674066612182,43928473.32091562,2067257.9970729668,1640645.5121991397
bz,17.30607708026025,112.62217467792686,23652972.209570054,1088135.1892323315,665346.5665729245
cj,35.713791356490105,214.97208064913528,42796406.77815951,2337076.9643900236,1391685.61039148
cl,14.203758281065014,82.34149474797854,14981269.02755737,625989.5431874858,341140.9134990806
cs,14.489928327094065,98.29209526739507,12157753.680356506,737921.6806732928,712544.9821350789
ct,26.08475500506349,181.24302147438394,46473436.84272026,2216436.046843759,2474136.5415076213
cv,18.024749619841643,146.54886127278766,20162809.33529093,4199119.627532205,516675.98273119744
db,12.935167202164939,89.19970271808711,16637251.571982125,1020842.1833957083,336811.2619163337
dj,16.779764871902177,128.97908813947143,18652601.496295683,1187729.3912978894,1064184.3703089003
gj,14.955148200606393,94.22562078874762,10244296.70686545,497982.79066340276,246797.43415504778
gl,15.036654514396881,148.6188325912804,33419668.859874576,2066787.2013665373,546571.2315442346
gr,13.656880800202217,80.15382948759614,22916154.10392518,882149.8970859062,944344.939154299
hd,18.259905850019464,286.6235128195856,22251251.61401486,771931.9784471848,1291838.7218916786
hr,21.633427105147263,169.45135999089246,22361471.813031584,883073.4176380887,590851.7177019014
if,32.99148928550416,298.4812710561523,147118300.5993569,6678700.602938205,5336048.2964501595
il,11.223378920868205,84.90848472477376,16616043.655167721,837915.8161529563,455267.75192216097
is,15.817713580933189,108.8728589792586,15706031.573541675,864115.2329500052,654398.328657541
mh,12.723555032701707,95.60172541769954,13314229.689228743,460432.72341498255,725537.3828830721
mm,20.562640988071006,135.65071636668395,17604447.2906535,812605.3208209092,1031405.2987759337
ms,20.712599270229664,262.33835050440007,28233104.52216141,1360128.5767466195,760222.9052640052
nt,16.70221986930954,101.78423444698767,14530687.944955684,550469.3195757145,637004.5604984022
ot,14.198382086145141,104.57594713245531,19702429.5332565,1055836.9340021717,374897.744557916
ph,19.475064060272253,179.45277578039867,36795891.15189883,2082169.2130161577,1504996.837139885
sb,21.620492860264406,226.35319140691433,43617959.89347984,3066350.5154861114,1774939.670149167
sj,15.978877845152644,99.0101008469855,16780624.924304206,1054996.415047113,245821.6001485656
sm,16.9438198798278,146.9410828799378,21779719.582850523,1075321.8763029526,549773.91357731
sv,14.27528079328298,87.12848423986446,12488309.419027084,471427.0595311296,370420.0165401542
tl,17.643282218435935,122.44528401280753,15490276.7118552,770743.9481113828,825649.7971043122
tm,28.55693968607543,229.1442199435856,38657192.083419085,2587991.654863221,1849142.6743984278
tr,12.282187491980393,70.61102984576694,10532505.55085072,437669.32019401033,251895.89652783124
vl,17.331538192610665,140.4945563101428,24280383.329490144,779931.4623206409,1164150.6852032302
vn,14.484685356473419,96.0172222704591,11878160.74374467,620178.5125106617,245468.11939139807
vs,9.187049324886335,76.57333691893008,8473706.48138304,366368.8432489676,150041.98692091048
