SIRUTA,NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN
1017,2839,18339,2316397026.0,104098408.0,72823048.0
1071,52,252,71286946.0,3780292.0,658101.0
1151,147,1679,218600161.0,7349044.0,57289240.0
1213,548,4546,403646225.0,26239656.0,5854793.0
1348,333,3526,404600663.0,10379141.0,26650273.0
1455,197,1555,145078264.0,5777204.0,910483.0
1696,393,5515,665982870.0,40814655.0,78587054.0
1794,280,2087,271953564.0,4584422.0,48349706.0
1874,962,9306,2356408516.0,38817476.0,100863037.0
1936,77,806,145467440.0,4613569.0,12010199.0
2130,20,59,3574388.0,66595.0,48800.0
2309,14,43,4231954.0,276050.0,42905.0
2381,23,62,3643882.0,125406.0,53580.0
2577,13,31,3847296.0,108994.0,133744.0
2915,71,620,34533984.0,732940.0,853380.0
2988,14,15,2414681.0,240989.0,37673.0
3039,69,190,16371157.0,1039265.0,551430.0
3397,6,12,223515.0,62780.0,15456.0
3459,20,18,782416.0,17999.0,100696.0
3761,3,3,287970.0,24317.0,0.0
3805,5,18,1324469.0,15296.0,46117.0
3958,11,13,1079110.0,7956.0,27031.0
4008,13,32,990565.0,64305.0,75219.0
4106,8,69,28495931.0,108314.0,21899.0
4142,20,52,2481660.0,147762.0,459391.0
4188,18,27,3162065.0,279210.0,179630.0
4240,29,107,8270722.0,71248.0,164788.0
4268,8,76,10205368.0,219487.0,13602.0
4302,9,21,2645995.0,53445.0,49229.0
4366,71,1723,500576052.0,14310511.0,6249250.0
4482,17,23,2425412.0,154672.0,1405434.0
4525,24,149,6548641.0,1043443.0,205757.0
4703,6,15,720024.0,200393.0,24783.0
4767,18,43,4290605.0,23393.0,120259.0
4927,83,361,57534906.0,1791694.0,454106.0
4981,4,10,754877.0,2729.0,33431.0
5103,32,1585,156982976.0,9078911.0,144200.0
5167,9,12,1584004.0,69759.0,24007.0
5210,38,116,10966800.0,1241279.0,584910.0
5309,18,83,12220491.0,630045.0,16123.0
5336,34,55,3998762.0,211278.0,142371.0
5577,19,42,1829761.0,215528.0,211155.0
5700,25,33,3260060.0,52671.0,307400.0
5755,30,189,24992916.0,300864.0,896874.0
5826,3,14,506514.0,17114.0,54660.0
6048,12,38,2373412.0,29739.0,84615.0
6119,3,1,174274.0,13547.0,1703.0
6164,3,0,94840.0,517.0,0.0
6217,33,168,13868059.0,1000318.0,430181.0
6271,3,8,145340.0,18417.0,186.0
6397,1,3,163436.0,611.0,0.0
6468,8,11,1418794.0,86245.0,108593.0
6547,7,17,1172240.0,142143.0,61781.0
6592,13,33,4530476.0,134709.0,6799.0
6627,3,4,92186.0,9316.0,19461.0
6761,59,453,27792950.0,2383716.0,227172614.0
6930,7,23,923621.0,15036.0,211683.0
6976,15,38,1925867.0,95344.0,413915.0
7044,21,51,6487747.0,198488.0,778713.0
7099,56,396,24015487.0,865809.0,1046118.0
7197,8,13,482934.0,3704.0,9457.0
7348,20,107,3625203.0,133499.0,147422.0
7384,55,574,53646947.0,4604361.0,1095348.0
7446,17,36,5517993.0,479210.0,98198.0
7767,26,65,3731252.0,105409.0,204860.0
7810,20,57,2908526.0,197184.0,503760.0
7865,23,65,4974818.0,169957.0,38126.0
7945,14,20,893565.0,48413.0,62778.0
8014,40,114,14370635.0,554373.0,440557.0
8096,92,436,42476378.0,1822256.0,852967.0
8158,49,151,17076841.0,251665.0,278408.0
8229,25,67,5950894.0,98544.0,156176.0
8354,17,105,7308612.0,193466.0,37131.0
8425,9,44,1323881.0,7819.0,209151.0
8826,67,616,67935644.0,1385761.0,2414077.0
9019,5,5,1087539.0,720.0,53583.0
9026,17,51,8192478.0,223133.0,100563.0
9262,6695,59286,10562062057.0,531121705.0,857418621.0
9280,56,390,34065621.0,776144.0,1554540.0
9333,123,714,118855756.0,5286434.0,2414114.0
9360,62,279,154475391.0,2070627.0,3085364.0
9397,363,1076,280436592.0,14049425.0,8080598.0
9459,173,1384,366938985.0,7947440.0,19333225.0
9495,131,3905,695043991.0,18235449.0,51133719.0
9538,189,1697,89433122.0,6934919.0,4505845.0
9574,236,1809,148324183.0,6766333.0,10079560.0
9627,130,669,88316968.0,6053689.0,2742216.0
9654,101,456,43888132.0,1077708.0,1589574.0
9690,219,1452,111563022.0,3749540.0,3910452.0
9743,24,128,18932154.0,3072584.0,565776.0
9798,16,30,2507819.0,274559.0,128605.0
9832,19,40,4121258.0,234754.0,92700.0
9887,8,19,1888310.0,21587.0,993714.0
9930,36,212,14243482.0,427052.0,338646.0
10006,13,28,4202826.0,123381.0,77494.0
10051,14,18,1087210.0,295369.0,40984.0
10104,21,103,5561714.0,945759.0,350239.0
10195,21,37,2990293.0,54354.0,311116.0
10239,6,10,1127338.0,86032.0,10544.0
10293,57,176,32266428.0,1607517.0,1118485.0
10346,6,7,225886.0,5892.0,15282.0
10373,24,67,8289383.0,569159.0,83096.0
10417,15,44,2614377.0,75167.0,327430.0
10453,14,32,1203021.0,191393.0,622501.0
10514,15,41,2783286.0,22277.0,261154.0
10532,16,43,2976668.0,144663.0,18631.0
10649,14,35,2586582.0,268432.0,73321.0
10701,14,17,2096633.0,30354.0,1199753.0
10765,10,76,14895781.0,365562.0,32353.0
10827,63,242,107479192.0,9155232.0,752789.0
10872,93,394,41053449.0,2807529.0,1608702.0
10916,18,30,1431263.0,98031.0,193554.0
10943,57,390,33455499.0,669822.0,625513.0
11058,23,50,5146026.0,41833.0,105199.0
11174,10,13,1863652.0,412255.0,35668.0
11236,11,24,2148194.0,174516.0,37505.0
11307,4,0,1000.0,0.0,4770.0
11352,35,181,27411412.0,3851089.0,2422587.0
11398,53,164,17895057.0,602171.0,798548.0
11423,27,71,8292879.0,128157.0,507678.0
11478,45,133,8880067.0,526784.0,906975.0
11502,6,117,12418086.0,2085465.0,709133.0
11539,69,221,29158623.0,2983202.0,666775.0
11584,222,1484,174530682.0,10811124.0,3956968.0
11637,15,37,1918920.0,64249.0,113945.0
11664,4,14,238313.0,7797.0,43061.0
11735,31,52,2770584.0,192215.0,216231.0
11762,3,3,8838.0,1932.0,22747.0
11842,43,176,15931720.0,826742.0,127433.0
11940,42,92,8871104.0,564418.0,325371.0
11995,16,22,4638669.0,42612.0,222054.0
