SIRUTA,Anul
1017,2017
1071,2021
1151,2008
1213,2008
1348,2019
1455,2008
1696,2018
1794,2013
1874,2015
1936,2015
2130,2019
2309,2021
2381,2015
2577,2020
2915,2008
2988,2012
3039,2021
3397,2008
3459,2018
3761,2016
3805,2021
3958,2018
4008,2016
4106,2021
4142,2021
4188,2021
4240,2016
4268,2012
4302,2021
4366,2021
4482,2021
4525,2009
4703,2021
4767,2021
4927,2009
4981,2021
5103,2008
5167,2020
5210,2019
5309,2021
5336,2021
5577,2021
5700,2014
5755,2008
5826,2008
6048,2016
6119,2019
6164,2019
6217,2017
6271,2021
6397,2010
6468,2012
6547,2013
6592,2020
6627,2020
6761,2013
6930,2017
6976,2015
7044,2021
7099,2013
7197,2016
7348,2008
7384,2011
7446,2021
7767,2021
7810,2016
7865,2011
7945,2021
8014,2021
8096,2021
8158,2021
8229,2011
8354,2008
8425,2021
8826,2011
9019,2013
9026,2021
9262,2012
9280,2019
9333,2021
9360,2019
9397,2021
9459,2017
9495,2017
9538,2008
9574,2018
9627,2010
9654,2019
9690,2019
9743,2016
9798,2021
9832,2018
9887,2014
9930,2008
10006,2021
10051,2019
10104,2018
10195,2021
10239,2021
10293,2017
10346,2020
10373,2020
10417,2021
10453,2018
10514,2018
10532,2021
10649,2010
10701,2011
10765,2016
10827,2021
10872,2013
10916,2014
10943,2008
11058,2020
11174,2021
11236,2021
11307,2014
11352,2021
11398,2018
11423,2008
11478,2019
11502,2010
11539,2016
11584,2018
11637,2021
11664,2020
11735,2021
11762,2012
11842,2021
11940,2010
11995,2021
12037,2019
12055,2011
12091,2015
12126,2015
12144,2018
12206,2021
12224,2013
12242,2017
12288,2016
12340,2021
12368,2017
12402,2011
12457,2021
12509,2017
12572,2019
12643,2020
12689,2012
12778,2021
12812,2013
12849,2018
12876,2018
12912,2015
12920,2021
12938,2021
13169,2017
13187,2018
13276,2018
13301,2011
13365,2021
13392,2018
13490,2017
13524,2020
13622,2009
13668,2018
13757,2018
13819,2021
13891,2020
13935,2021
13999,2017
14049,2019
14085,2015
14165,2021
14272,2013
14352,2018
14405,2019
14450,2012
14584,2021
14673,2008
14726,2021
14753,2020
14851,2021
14922,2011
14940,2012
15064,2020
15108,2018
15233,2019
15313,2014
15402,2015
15448,2020
15493,2021
15554,2021
15652,2008
15741,2021
15830,2017
15901,2012
15983,2017
16132,2021
16285,2011
16329,2021
16365,2018
16427,2021
16454,2021
16472,2014
16506,2019
16551,2011
16613,2021
16659,2021
16739,2019
16757,2014
16908,2017
16944,2019
17049,2021
17101,2017
17209,2019
17254,2021
17334,2018
17398,2015
17423,2019
17496,2019
17575,2015
17619,2009
17726,2018
17771,2017
17824,2021
17851,2020
17913,2021
17968,2008
18028,2017
18162,2020
18242,2021
18331,2013
18411,2021
18475,2020
18527,2016
18554,2021
18581,2020
18670,2019
18741,2019
18778,2021
18858,2019
18938,2008
19007,2019
19114,2012
19141,2020
19212,2021
19249,2017
19338,2019
19392,2018
19560,2016
19631,2012
19695,2021
19793,2020
19999,2011
20048,2021
20055,2021
20063,2017
