Judet,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,RataMedie
b,0.559,0.587,0.561,0.54,0.532,0.529,0.526,0.527,0.541,0.548,0.55,0.56,0.538,0.531,0.545
if,0.298,0.308,0.291,0.322,0.335,0.36,0.364,0.221,0.438,0.448,0.461,0.482,0.478,0.499,0.379
tm,0.229,0.29,0.23,0.239,0.245,0.246,0.253,0.26,0.275,0.285,0.287,0.293,0.268,0.264,0.262
cj,0.215,0.202,0.216,0.222,0.223,0.232,0.24,0.253,0.265,0.271,0.281,0.288,0.28,0.285,0.248
sb,0.226,0.213,0.232,0.237,0.238,0.244,0.245,0.247,0.254,0.254,0.255,0.252,0.234,0.231,0.24
bv,0.228,0.209,0.212,0.222,0.224,0.23,0.237,0.239,0.246,0.25,0.254,0.254,0.232,0.232,0.234
ag,0.185,0.244,0.173,0.18,0.184,0.189,0.193,0.203,0.21,0.249,0.219,0.219,0.208,0.208,0.205
bh,0.183,0.181,0.182,0.198,0.196,0.196,0.196,0.202,0.202,0.207,0.205,0.207,0.194,0.195,0.196
ar,0.176,0.163,0.183,0.194,0.196,0.192,0.197,0.207,0.205,0.213,0.212,0.206,0.178,0.18,0.193
ct,0.181,0.311,0.177,0.181,0.179,0.179,0.191,0.179,0.177,0.173,0.17,0.172,0.166,0.165,0.186
ph,0.179,0.24,0.17,0.174,0.168,0.167,0.169,0.172,0.176,0.18,0.182,0.184,0.176,0.183,0.18
ms,0.262,0.241,0.154,0.155,0.156,0.152,0.158,0.16,0.159,0.159,0.162,0.16,0.157,0.156,0.171
ab,0.15,0.176,0.142,0.154,0.15,0.181,0.157,0.161,0.159,0.167,0.17,0.171,0.166,0.184,0.163
hd,0.287,0.214,0.163,0.158,0.156,0.153,0.158,0.157,0.15,0.145,0.138,0.136,0.129,0.121,0.162
hr,0.169,0.152,0.154,0.162,0.16,0.156,0.151,0.151,0.154,0.154,0.154,0.155,0.145,0.147,0.155
sm,0.147,0.133,0.144,0.157,0.154,0.158,0.16,0.161,0.163,0.163,0.16,0.16,0.149,0.146,0.154
mm,0.136,0.137,0.131,0.136,0.138,0.139,0.142,0.147,0.148,0.15,0.149,0.149,0.148,0.153,0.143
bn,0.123,0.151,0.123,0.124,0.124,0.13,0.139,0.148,0.151,0.143,0.141,0.145,0.145,0.146,0.138
cv,0.147,0.179,0.137,0.14,0.136,0.133,0.129,0.128,0.125,0.126,0.127,0.126,0.117,0.118,0.133
vl,0.14,0.124,0.142,0.145,0.139,0.131,0.123,0.126,0.129,0.129,0.127,0.129,0.123,0.125,0.131
gj,0.094,0.088,0.146,0.149,0.153,0.143,0.142,0.136,0.129,0.127,0.125,0.124,0.124,0.125,0.129
gl,0.149,0.128,0.128,0.134,0.131,0.128,0.128,0.128,0.127,0.123,0.124,0.125,0.12,0.119,0.128
dj,0.129,0.106,0.12,0.123,0.121,0.122,0.123,0.125,0.128,0.128,0.132,0.136,0.134,0.134,0.126
tl,0.122,0.109,0.125,0.124,0.121,0.122,0.125,0.123,0.118,0.119,0.12,0.12,0.12,0.108,0.12
br,0.127,0.113,0.126,0.131,0.126,0.126,0.124,0.124,0.119,0.114,0.112,0.111,0.104,0.098,0.118
bz,0.113,0.1,0.113,0.123,0.12,0.112,0.117,0.117,0.117,0.115,0.117,0.116,0.113,0.115,0.115
is,0.109,0.102,0.105,0.109,0.108,0.106,0.106,0.111,0.113,0.116,0.122,0.125,0.121,0.125,0.113
sj,0.099,0.111,0.105,0.112,0.111,0.111,0.108,0.11,0.115,0.115,0.117,0.122,0.116,0.116,0.112
bc,0.095,0.088,0.094,0.1,0.102,0.1,0.1,0.102,0.104,0.106,0.107,0.111,0.111,0.115,0.103
ot,0.105,0.132,0.085,0.094,0.091,0.09,0.088,0.093,0.095,0.093,0.1,0.098,0.097,0.098,0.097
vn,0.096,0.117,0.091,0.092,0.089,0.088,0.088,0.094,0.096,0.093,0.094,0.096,0.095,0.096,0.095
cs,0.098,0.084,0.093,0.088,0.087,0.094,0.091,0.101,0.101,0.097,0.098,0.095,0.092,0.089,0.093
nt,0.102,0.086,0.094,0.099,0.097,0.092,0.091,0.096,0.089,0.089,0.088,0.09,0.083,0.085,0.092
db,0.089,0.091,0.084,0.089,0.085,0.089,0.086,0.086,0.088,0.091,0.095,0.099,0.097,0.098,0.09
sv,0.087,0.076,0.078,0.085,0.084,0.084,0.085,0.088,0.091,0.094,0.096,0.1,0.094,0.098,0.089
il,0.085,0.087,0.086,0.096,0.092,0.091,0.088,0.086,0.091,0.088,0.084,0.087,0.086,0.083,0.088
mh,0.095,0.281,0.09,0.094,0.088,0.081,0.071,0.067,0.058,0.059,0.059,0.061,0.059,0.06,0.087
cl,0.082,0.078,0.085,0.089,0.088,0.087,0.083,0.085,0.084,0.081,0.082,0.083,0.08,0.079,0.083
gr,0.08,0.074,0.077,0.086,0.076,0.08,0.079,0.075,0.079,0.08,0.079,0.084,0.096,0.089,0.081
vs,0.076,0.201,0.066,0.071,0.071,0.069,0.067,0.069,0.068,0.064,0.065,0.066,0.063,0.063,0.077
tr,0.071,0.064,0.07,0.076,0.076,0.079,0.078,0.075,0.075,0.073,0.072,0.072,0.07,0.067,0.073
bt,0.077,0.089,0.067,0.07,0.074,0.067,0.066,0.067,0.07,0.069,0.069,0.069,0.066,0.065,0.07
