Siruta,Localitate,Judet,Mediu
1017,Municipiul Alba Iulia,ab,urban
1071,Ciugud,ab,rural
1151,Oras Abrud,ab,rural
1213,Municipiul Aiud,ab,urban
1348,Municipiul Blaj,ab,urban
1455,Oras Campeni,ab,urban
1696,Oras Cugir,ab,urban
1794,Oras Ocna Mures,ab,urban
1874,Municipiul Sebes,ab,urban
1936,Oras Zlatna,ab,urban
2130,Albac,ab,rural
2309,Almasu Mare,ab,urban
2381,Arieseni,ab,urban
2577,Avram Iancu,ab,urban
2915,Oras Baia De Aries,ab,urban
2988,Berghin,ab,urban
3039,Bistra,ab,urban
3397,Blandiana,ab,rural
3459,Bucium,ab,rural
3761,Cenade,ab,rural
3805,Cergau,ab,rural
3841,Ceru-Bacainti,ab,rural
3958,Cetatea De Balta,ab,rural
4008,Ciuruleasa,ab,urban
4106,Calnic,ab,urban
4142,Cricau,ab,urban
4188,Craciunelu De Jos,ab,urban
4240,Daia Romana,ab,urban
4268,Dostat,ab,urban
4302,Farau,ab,urban
4366,Galda De Jos,ab,urban
4482,Garbova,ab,urban
4525,Garda De Sus,ab,urban
4703,Hoparta,ab,urban
4767,Horea,ab,urban
4927,Ighiu,ab,urban
4981,Intregalde,ab,urban
5103,Jidvei,ab,urban
5167,Livezile,ab,urban
5210,Lopadea Noua,ab,urban
5309,Lunca Muresului,ab,urban
5336,Lupsa,ab,urban
5577,Metes,ab,urban
5700,Mihalt,ab,urban
5755,Miraslau,ab,urban
5826,Mogos,ab,urban
6048,Noslac,ab,urban
6119,Ocolis,ab,urban
6164,Ohaba,ab,urban
6217,Pianu,ab,urban
6271,Poiana Vadului,ab,urban
6397,Ponor,ab,urban
6468,Posaga,ab,urban
6547,Radesti,ab,urban
6592,Rametea,ab,urban
6627,Ramet,ab,urban
6761,Rosia Montana,ab,urban
6930,Rosia De Secas,ab,urban
6976,Salciua,ab,urban
7044,Salistea,ab,urban
7099,Sasciori,ab,urban
7197,Scarisoara,ab,urban
7348,Sancel,ab,urban
7384,Santimbru,ab,urban
7446,Sohodol,ab,urban
7767,Stremt,ab,urban
7810,Sibot,ab,urban
7865,Sona,ab,urban
7945,Spring,ab,urban
8014,Sugag,ab,urban
8096,Oras Teius,ab,urban
8158,Unirea,ab,urban
8229,Vadu Motilor,ab,urban
8354,Valea Lunga,ab,urban
8425,Vidra,ab,urban
8826,Vintu De Jos,ab,urban
9019,Cut,ab,urban
9026,Bucerdea Granoasa,ab,urban
9262,Municipiul Arad,ar,urban
9280,Fantanele,ar,urban
9333,Livada,ar,urban
9360,Sofronea,ar,urban
9397,Vladimirescu,ar,urban
9459,Oras Chisineu-Cris,ar,urban
9495,Oras Curtici,ar,urban
9538,Oras Ineu,ar,urban
9574,Oras Lipova,ar,urban
9627,Oras Nadlac,ar,urban
9654,Oras Pancota,ar,urban
9690,Oras Sebis,ar,urban
9743,Almas,ar,urban
9798,Apateu,ar,urban
9832,Archis,ar,urban
9887,Bata,ar,urban
9930,Beliu,ar,urban
10006,Birchis,ar,urban
10051,Barsa,ar,urban
10104,Barzava,ar,urban
10195,Bocsig,ar,urban
10239,Brazii,ar,urban
10293,Buteni,ar,urban
10346,Carand,ar,urban
10373,Cermei,ar,urban
10417,Chisindia,ar,urban
10453,Conop,ar,urban
10514,Covasint,ar,urban
10532,Craiva,ar,urban
10649,Dezna,ar,urban
10701,Dieci,ar,urban
10765,Ususau,ar,urban
10827,Felnac,ar,urban
10872,Ghioroc,ar,urban
10916,Graniceri,ar,urban
10943,Gurahont,ar,urban
11058,Halmagiu,ar,urban
11174,Halmagel,ar,urban
11236,Hasmas,ar,urban
11307,Ignesti,ar,urban
11352,Iratosu,ar,urban
11398,Macea,ar,urban
11423,Misca,ar,urban
11478,Moneasa,ar,urban
11502,Olari,ar,urban
11539,Paulis,ar,urban
11584,Oras Pecica,ar,urban
11637,Peregu Mare,ar,urban
11664,Petris,ar,urban
11735,Pilu,ar,urban
11762,Plescuta,ar,urban
11842,Savarsin,ar,urban
11940,Secusigiu,ar,urban
11995,Seleus,ar,urban
12037,Semlac,ar,urban
12055,Sintea Mare,ar,urban
12091,Oras Santana,ar,urban
12126,Socodor,ar,urban
12144,Sagu,ar,urban
12206,Seitin,ar,urban
12224,Sepreus,ar,urban
12242,Sicula,ar,urban
12288,Silindia,ar,urban
12340,Simand,ar,urban
12368,Siria,ar,urban
12402,Sistarovat,ar,urban
12457,Taut,ar,urban
12509,Tarnova,ar,urban
12572,Varadia De Mures,ar,urban
12643,Vinga,ar,urban
12689,Varfurile,ar,urban
12778,Zabrani,ar,urban
12812,Zarand,ar,urban
12849,Zerind,ar,urban
12876,Zimandu Nou,ar,urban
12912,Dorobanti,ar,urban
12920,Frumuseni,ar,urban
12938,Zadareni,ar,urban
13169,Municipiul Pitesti,ag,urban
13187,Bascov,ag,urban
13276,Bradu,ag,urban
13301,Oras Mioveni,ag,urban
13365,Maracineni,ag,urban
13392,Oras Stefanesti,ag,urban
13490,Municipiul Campulung,ag,urban
13524,Valea Mare Pravat,ag,urban
13622,Municipiul Curtea De Arges,ag,urban
13668,Oras Costesti,ag,urban
13757,Oras Topoloveni,ag,urban
13819,Albestii De Arges,ag,urban
13891,Albestii De Muscel,ag,urban
13935,Albota,ag,urban
13999,Aninoasa,ag,urban
14049,Arefu,ag,urban
14085,Babana,ag,urban
14165,Baiculesti,ag,rural
14272,Balilesti,ag,rural
14352,Beleti-Negresti,ag,rural
14405,Berevoesti,ag,rural
14450,Barla,ag,rural
14584,Bogati,ag,rural
14673,Boteni,ag,rural
14726,Botesti,ag,rural
14753,Bradulet,ag,rural
14851,Budeasa,ag,rural
14922,Bughea De Jos,ag,rural
14940,Buzoesti,ag,rural
15064,Caldararu,ag,rural
15108,Calinesti,ag,rural
15233,Cateasca,ag,rural
15313,Cepari,ag,rural
15402,Cetateni,ag,rural
15448,Cicanesti,ag,rural
15493,Ciofrangeni,ag,rural
15554,Ciomagesti,ag,rural
15652,Cocu,ag,rural
15741,Corbeni,ag,rural
15830,Corbi,ag,rural
15901,Cosesti,ag,rural
15983,Cotmeana,ag,rural
16132,Cuca,ag,rural
16285,Davidesti,ag,rural
16329,Dambovicioara,ag,rural
16365,Darmanesti,ag,rural
16427,Dobresti,ag,rural
16454,Domnesti,ag,rural
16472,Dragoslavele,ag,rural
16506,Draganu,ag,rural
16551,Godeni,ag,rural
16613,Harsesti,ag,rural
16659,Hartiesti,ag,rural
16739,Izvoru,ag,rural
16757,Leordeni,ag,rural
16908,Leresti,ag,rural
16944,Lunca Corbului,ag,rural
17049,Malureni,ag,rural
17101,Merisani,ag,rural
17209,Micesti,ag,rural
17254,Mihaesti,ag,rural
17334,Mioarele,ag,rural
17398,Mirosi,ag,rural
17423,Moraresti,ag,rural
17496,Mosoaia,ag,rural
17575,Mozaceni,ag,rural
17619,Musatesti,ag,rural
17726,Negrasi,ag,rural
17771,Nucsoara,ag,rural
17824,Oarja,ag,rural
17851,Pietrosani,ag,rural
17913,Poienarii De Arges,ag,rural
17968,Poienarii De Muscel,ag,rural
18028,Poiana Lacului,ag,rural
18162,Popesti,ag,rural
18242,Priboieni,ag,rural
18331,Ratesti,ag,rural
18411,Recea,ag,rural
18475,Rociu,ag,rural
18527,Rucar,ag,rural
18554,Salatrucu,ag,rural
18581,Sapata,ag,rural
18670,Schitu Golesti,ag,rural
18741,Slobozia,ag,rural
18778,Stalpeni,ag,rural
18858,Stoenesti,ag,rural
18938,Stolnici,ag,rural
19007,Suseni,ag,rural
19114,Stefan Cel Mare,ag,rural
19141,Suici,ag,rural
19212,Teiu,ag,rural
19249,Tigveni,ag,rural
19338,Titesti,ag,rural
19392,Uda,ag,rural
19560,Ungheni,ag,rural
19631,Valea Danului,ag,rural
19695,Valea Iasului,ag,rural
19793,Vedea,ag,rural
19999,Vladesti,ag,rural
20048,Raca,ag,rural
20055,Vulturesti,ag,rural
20063,Bughea De Sus,ag,rural
20297,Municipiul Bacau,bc,rural
20313,Hemeius,bc,rural
20359,Letea Veche,bc,rural
20411,Magura,bc,rural
20466,Margineni,bc,rural
20563,Municipiul Onesti,bc,rural
20607,Gura Vaii,bc,rural
20670,Stefan Cel Mare,bc,rural
20778,Oras Buhusi,bc,rural
20821,Oras Comanesti,bc,rural
20876,Municipiul Moinesti,bc,rural
20910,Oras Slanic-Moldova,bc,rural
20965,Oras Targu Ocna,bc,rural
21007,Agas,bc,rural
21098,Ardeoani,bc,rural
21123,Asau,bc,rural
21196,Balcani,bc,rural
21249,Beresti-Bistrita,bc,rural
21338,Beresti-Tazlau,bc,rural
21418,Berzunti,bc,rural
21454,Barsanesti,bc,rural
21506,Blagesti,bc,rural
21560,Bogdanesti,bc,rural
21597,Brusturoasa,bc,rural
21668,Buhoci,bc,rural
21720,Casin,bc,rural
21757,Caiuti,bc,rural
21855,Cleja,bc,rural
21891,Colonesti,bc,rural
21971,Corbasca,bc,rural
22059,Cotofanesti,bc,rural
22111,Damienesti,bc,rural
22166,Oras Darmanesti,bc,rural
22237,Dealu Morii,bc,rural
22380,Dofteana,bc,rural
