Siruta,Localitate,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
1017,Municipiul Alba Iulia,30000,1142.45,1142.45,37141.5,3741.5,14866,7428.3,1142.45,141.5
1071,Ciugud,31000,447.45,447.45,1491.5,1491.5,200000,298.3,447.45,14.5
1151,Oras Abrud,32000,826.95,826.95,2756.5,2756.5,11026,551.3,826.95,2756.5
1213,Municipiul Aiud,33000,3947.7,3947.7,13159,13159,52636,2631.8,3947.7,13159
1348,Municipiul Blaj,34000,3149.1,3149.1,10497,10497,41988,2099.4,3149.1,10497
1455,Oras Campeni,35000,1144.35,1144.35,3814.5,3814.5,15258,762.9,1144.35,3814.5
1696,Oras Cugir,36000,4015.2,4015.2,13384,13384,53536,2676.8,4015.2,13384
1794,Oras Ocna Mures,37000,2196.15,2196.15,7320.5,7320.5,29282,1464.1,2196.15,7320.5
1874,Municipiul Sebes,38000,4882.8,4882.8,16276,16276,65104,3255.2,4882.8,16276
1936,Oras Zlatna,39000,1196.1,1196.1,3987,3987,15948,797.4,1196.1,3987
2130,Albac,40000,318.9,318.9,1063,1063,4252,212.6,318.9,1063
2309,Almasu Mare,41000,193.05,193.05,643.5,643.5,2574,128.7,193.05,643.5
2381,Arieseni,42000,258.3,258.3,861,861,3444,172.2,258.3,861
2577,Avram Iancu,43000,234,234,780,780,3120,156,234,780
2915,Oras Baia De Aries,44000,611.4,611.4,2038,2038,8152,100000,611.4,2038
2988,Berghin,45000,308.55,308.55,1028.5,1028.5,4114,205.7,308.55,1028.5
3039,Bistra,46000,725.85,725.85,2419.5,2419.5,9678,483.9,725.85,2419.5
3397,Blandiana,47000,142.2,142.2,474,474,1896,94.8,142.2,474
3459,Bucium,48000,229.5,229.5,765,765,3060,153,229.5,765
3761,Cenade,49000,147.45,147.45,491.5,491.5,1966,98.3,147.45,491.5
3805,Cergau,50000,244.2,244.2,814,814,3256,162.8,244.2,814
3841,Ceru-Bacainti,51000,38.55,38.55,128.5,128.5,514,25.7,38.55,128.5
3958,Cetatea De Balta,52000,476.25,476.25,1587.5,1587.5,6350,317.5,476.25,1587.5
4008,Ciuruleasa,53000,179.7,179.7,599,599,2396,119.8,179.7,599
4106,Calnic,54000,282,282,940,940,3760,188,282,940
4142,Cricau,55000,316.8,316.8,1056,1056,4224,211.2,316.8,1056
4188,Craciunelu De Jos,56000,322.2,322.2,1074,1074,4296,214.8,322.2,1074
4240,Daia Romana,57000,472.5,472.5,1575,1575,6300,315,472.5,1575
4268,Dostat,58000,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5
4302,Farau,59000,243.45,243.45,811.5,811.5,3246,162.3,243.45,811.5
4366,Galda De Jos,60000,661.2,661.2,2204,2204,8816,440.8,661.2,2204
4482,Garbova,61000,317.85,317.85,1059.5,1059.5,4238,211.9,317.85,1059.5
4525,Garda De Sus,62000,254.4,254.4,848,848,3392,169.6,254.4,848
4703,Hoparta,63000,179.55,179.55,598.5,598.5,2394,119.7,179.55,598.5
4767,Horea,64000,315.3,315.3,1051,1051,4204,210.2,315.3,1051
4927,Ighiu,65000,1030.05,1030.05,3433.5,3433.5,13734,686.7,1030.05,3433.5
4981,Intregalde,66000,94.05,94.05,313.5,313.5,1254,62.7,94.05,313.5
5103,Jidvei,67000,796.35,796.35,2654.5,2654.5,10618,530.9,796.35,2654.5
5167,Livezile,68000,190.65,190.65,635.5,635.5,2542,127.1,190.65,635.5
5210,Lopadea Noua,69000,407.4,407.4,1358,1358,5432,271.6,407.4,1358
5309,Lunca Muresului,70000,382.5,382.5,1275,1275,5100,255,382.5,1275
5336,Lupsa,71000,476.1,476.1,1587,1587,6348,317.4,476.1,1587
5577,Metes,72000,424.95,424.95,1416.5,1416.5,5666,283.3,424.95,1416.5
5700,Mihalt,73000,491.85,491.85,1639.5,1639.5,6558,327.9,491.85,1639.5
5755,Miraslau,74000,318.3,318.3,1061,1061,4244,212.2,318.3,1061
5826,Mogos,75000,121.8,121.8,406,406,1624,81.2,121.8,406
6048,Noslac,76000,272.55,272.55,908.5,908.5,3634,181.7,272.55,908.5
6119,Ocolis,77000,88.5,88.5,295,295,1180,59,88.5,295
6164,Ohaba,78000,101.25,101.25,337.5,337.5,1350,67.5,101.25,337.5
6217,Pianu,79000,541.65,541.65,1805.5,1805.5,7222,361.1,541.65,1805.5
6271,Poiana Vadului,80000,166.5,166.5,555,555,2220,111,166.5,555
6397,Ponor,81000,86.4,86.4,288,288,1152,57.6,86.4,288
6468,Posaga,82000,159.75,159.75,532.5,532.5,2130,106.5,159.75,532.5
6547,Radesti,83000,199.05,199.05,663.5,663.5,2654,132.7,199.05,663.5
6592,Rametea,84000,157.65,157.65,525.5,525.5,2102,105.1,157.65,525.5
6627,Ramet,85000,81.3,81.3,271,271,1084,54.2,81.3,271
6761,Rosia Montana,86000,430.65,430.65,1435.5,1435.5,5742,287.1,430.65,1435.5
6930,Rosia De Secas,87000,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5
6976,Salciua,88000,232.35,232.35,774.5,774.5,3098,154.9,232.35,774.5
7044,Salistea,89000,353.1,353.1,1177,1177,4708,235.4,353.1,1177
7099,Sasciori,90000,962.85,962.85,3209.5,3209.5,12838,641.9,962.85,3209.5
7197,Scarisoara,91000,252.3,252.3,841,841,3364,168.2,252.3,841
7348,Sancel,92000,405.45,405.45,1351.5,1351.5,5406,270.3,405.45,1351.5
7384,Santimbru,93000,452.85,452.85,1509.5,1509.5,6038,301.9,452.85,1509.5
7446,Sohodol,94000,269.55,269.55,898.5,898.5,3594,179.7,269.55,898.5
7767,Stremt,95000,371.85,371.85,1239.5,1239.5,4958,247.9,371.85,1239.5
7810,Sibot,96000,369.6,369.6,1232,1232,4928,246.4,369.6,1232
7865,Sona,97000,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5
7945,Spring,98000,388.65,388.65,1295.5,1295.5,5182,259.1,388.65,1295.5
8014,Sugag,99000,436.95,436.95,1456.5,1456.5,5826,291.3,436.95,1456.5
8096,Oras Teius,100000,1127.85,1127.85,3759.5,3759.5,15038,751.9,1127.85,3759.5
8158,Unirea,101000,760.65,760.65,2535.5,2535.5,10142,507.1,760.65,2535.5
8229,Vadu Motilor,102000,206.25,206.25,687.5,687.5,2750,137.5,206.25,687.5
8354,Valea Lunga,103000,470.7,470.7,1569,1569,6276,313.8,470.7,1569
8425,Vidra,104000,248.7,248.7,829,829,3316,165.8,248.7,829
8826,Vintu De Jos,105000,821.25,821.25,2737.5,2737.5,10950,547.5,821.25,2737.5
9019,Cut,106000,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5
9026,Bucerdea Granoasa,107000,360.9,360.9,1203,1203,4812,240.6,360.9,1203
9262,Municipiul Arad,108000,26873.25,26873.25,89577.5,89577.5,358310,17915.5,26873.25,89577.5
9280,Fantanele,109000,556.8,556.8,1856,1856,7424,371.2,556.8,1856
9333,Livada,110000,521.1,521.1,1737,1737,6948,347.4,521.1,1737
9360,Sofronea,111000,412.65,412.65,1375.5,1375.5,5502,275.1,412.65,1375.5
